label,tweet_id
other_useful_information,'591902695562170368'
infrastructure_and_utilities_damage,'591902695822331904'
injured_or_dead_people,'591902695943843840'
missing_trapped_or_found_people,'591902696371724288'
sympathy_and_emotional_support,'591902696375877632'
sympathy_and_emotional_support,'591902696895950848'
not_related_or_irrelevant,'591902696925364224'
infrastructure_and_utilities_damage,'591902697248333825'
other_useful_information,'591902697395064832'
donation_needs_or_offers_or_volunteering_services,'591902697478967296'
displaced_people_and_evacuations,'591902697487405056'
displaced_people_and_evacuations,'591902697705623553'
donation_needs_or_offers_or_volunteering_services,'591902697848078336'
infrastructure_and_utilities_damage,'591902698036797440'
injured_or_dead_people,'591902698229739520'
sympathy_and_emotional_support,'591902698254958592'
other_useful_information,'591902698502520832'
injured_or_dead_people,'591902698552832000'
donation_needs_or_offers_or_volunteering_services,'591902698594701314'
sympathy_and_emotional_support,'591902698800295936'
other_useful_information,'591902698879856640'
sympathy_and_emotional_support,'591902698900889601'
sympathy_and_emotional_support,'591902699307708416'
missing_trapped_or_found_people,'591902699580428289'
sympathy_and_emotional_support,'591902700037656576'
other_useful_information,'591902700108980225'
donation_needs_or_offers_or_volunteering_services,'591902700524150784'
not_related_or_irrelevant,'591902700867981312'
donation_needs_or_offers_or_volunteering_services,'591902700947808256'
other_useful_information,'591902701711065088'
sympathy_and_emotional_support,'591902701727850496'
donation_needs_or_offers_or_volunteering_services,'591902701904101377'
donation_needs_or_offers_or_volunteering_services,'591902701967007744'
donation_needs_or_offers_or_volunteering_services,'591902702285664256'
injured_or_dead_people,'591902702583459841'
donation_needs_or_offers_or_volunteering_services,'591902702709280768'
donation_needs_or_offers_or_volunteering_services,'591902704454258689'
other_useful_information,'591902704592523265'
donation_needs_or_offers_or_volunteering_services,'591902704793976832'
sympathy_and_emotional_support,'591902704970010624'
other_useful_information,'591902705276313600'
injured_or_dead_people,'591902705376985088'
injured_or_dead_people,'591902705397956608'
infrastructure_and_utilities_damage,'591902706421215233'
other_useful_information,'591902706547105793'
injured_or_dead_people,'591902706899365888'
sympathy_and_emotional_support,'591902707939713024'
donation_needs_or_offers_or_volunteering_services,'591902708610822144'
other_useful_information,'591902708988121089'
donation_needs_or_offers_or_volunteering_services,'591902709084631040'
other_useful_information,'591902709445361665'
other_useful_information,'591902709579698176'
not_related_or_irrelevant,'591902709634113536'
injured_or_dead_people,'591902710191951873'
donation_needs_or_offers_or_volunteering_services,'591902710275788800'
sympathy_and_emotional_support,'591902710560985088'
displaced_people_and_evacuations,'591902710653325313'
donation_needs_or_offers_or_volunteering_services,'591902710795997184'
displaced_people_and_evacuations,'591902710951190528'
sympathy_and_emotional_support,'591902711018233856'
other_useful_information,'591902711030812673'
other_useful_information,'591902711110471680'
other_useful_information,'591902711164973056'
sympathy_and_emotional_support,'591902711223816192'
caution_and_advice,'591902711265636352'
donation_needs_or_offers_or_volunteering_services,'591902711316111360'
donation_needs_or_offers_or_volunteering_services,'591902711437598720'
injured_or_dead_people,'591902711496347648'
not_related_or_irrelevant,'591902711538425856'
donation_needs_or_offers_or_volunteering_services,'591902711647379457'
missing_trapped_or_found_people,'591902712049967104'
donation_needs_or_offers_or_volunteering_services,'591902712138043392'
not_related_or_irrelevant,'591902712582656001'
other_useful_information,'591902712603615232'
other_useful_information,'591902712729444352'
donation_needs_or_offers_or_volunteering_services,'591902712783970304'
donation_needs_or_offers_or_volunteering_services,'591902712838500352'
displaced_people_and_evacuations,'591902712838553600'
donation_needs_or_offers_or_volunteering_services,'591902713048276994'
sympathy_and_emotional_support,'591902713178234880'
other_useful_information,'591902713358626816'
donation_needs_or_offers_or_volunteering_services,'591902713719300096'
donation_needs_or_offers_or_volunteering_services,'591902714558156800'
injured_or_dead_people,'591902714893729793'
donation_needs_or_offers_or_volunteering_services,'591902714944032768'
donation_needs_or_offers_or_volunteering_services,'591902715199893504'
donation_needs_or_offers_or_volunteering_services,'591902715292340224'
missing_trapped_or_found_people,'591902715317477376'
sympathy_and_emotional_support,'591902715392864256'
donation_needs_or_offers_or_volunteering_services,'591902715598348288'
not_related_or_irrelevant,'591902715883618304'
donation_needs_or_offers_or_volunteering_services,'591902715955019776'
other_useful_information,'591902716043075584'
missing_trapped_or_found_people,'591902716160450562'
donation_needs_or_offers_or_volunteering_services,'591902716592422912'
sympathy_and_emotional_support,'591902716877647872'
donation_needs_or_offers_or_volunteering_services,'591902716940587008'
donation_needs_or_offers_or_volunteering_services,'591902717083328512'
injured_or_dead_people,'591902717313822720'
other_useful_information,'591902717464875008'
donation_needs_or_offers_or_volunteering_services,'591902717938765824'
other_useful_information,'591902718081441792'
injured_or_dead_people,'591902718127550465'
donation_needs_or_offers_or_volunteering_services,'591902718286954496'
donation_needs_or_offers_or_volunteering_services,'591902718584758274'
other_useful_information,'591902718626664448'
infrastructure_and_utilities_damage,'591902718865842177'
donation_needs_or_offers_or_volunteering_services,'591902719104983040'
not_related_or_irrelevant,'591902719264174080'
donation_needs_or_offers_or_volunteering_services,'591902719784390657'
other_useful_information,'591902719843139584'
donation_needs_or_offers_or_volunteering_services,'591902720149168129'
injured_or_dead_people,'591902720426123264'
sympathy_and_emotional_support,'591902721118048256'
sympathy_and_emotional_support,'591902721847857153'
infrastructure_and_utilities_damage,'591902721856253953'
missing_trapped_or_found_people,'591902721927708673'
missing_trapped_or_found_people,'591902722082754561'
injured_or_dead_people,'591902722305224704'
sympathy_and_emotional_support,'591902722430873600'
sympathy_and_emotional_support,'591902722535751681'
donation_needs_or_offers_or_volunteering_services,'591902722539958272'
sympathy_and_emotional_support,'591902722829328384'
missing_trapped_or_found_people,'591902722904883200'
not_related_or_irrelevant,'591902722938503168'
donation_needs_or_offers_or_volunteering_services,'591902722972069888'
not_related_or_irrelevant,'591902723185868800'
missing_trapped_or_found_people,'591902723307479041'
other_useful_information,'591902723311857664'
donation_needs_or_offers_or_volunteering_services,'591902723416596480'
donation_needs_or_offers_or_volunteering_services,'591902724305780736'
sympathy_and_emotional_support,'591902724339290112'
injured_or_dead_people,'591902724389634049'
donation_needs_or_offers_or_volunteering_services,'591902724393816064'
donation_needs_or_offers_or_volunteering_services,'591902724964413440'
injured_or_dead_people,'591902725216014336'
donation_needs_or_offers_or_volunteering_services,'591902725362724864'
donation_needs_or_offers_or_volunteering_services,'591902725551443968'
injured_or_dead_people,'591902726260264960'
donation_needs_or_offers_or_volunteering_services,'591902726344220672'
donation_needs_or_offers_or_volunteering_services,'591902726608461829'
other_useful_information,'591902726675689472'
other_useful_information,'591902727044603904'
missing_trapped_or_found_people,'591902727430479872'
other_useful_information,'591902727531155456'
other_useful_information,'591902727925571584'
missing_trapped_or_found_people,'591902728223387648'
other_useful_information,'591902728579731456'
displaced_people_and_evacuations,'591902728579756033'
other_useful_information,'591902728596525056'
other_useful_information,'591902728692961280'
donation_needs_or_offers_or_volunteering_services,'591902728999186432'
injured_or_dead_people,'591902729796063232'
other_useful_information,'591902729871564800'
displaced_people_and_evacuations,'591902730165288960'
donation_needs_or_offers_or_volunteering_services,'591902730286858241'
injured_or_dead_people,'591902730773377024'
sympathy_and_emotional_support,'591902731004063744'
donation_needs_or_offers_or_volunteering_services,'591902731285069824'
donation_needs_or_offers_or_volunteering_services,'591902731658395649'
donation_needs_or_offers_or_volunteering_services,'591902731696214017'
injured_or_dead_people,'591902733222879232'
donation_needs_or_offers_or_volunteering_services,'591902733583552513'
donation_needs_or_offers_or_volunteering_services,'591902733730480128'
injured_or_dead_people,'591902733793239040'
injured_or_dead_people,'591902733856165888'
other_useful_information,'591902733877248000'
missing_trapped_or_found_people,'591902734023987200'
sympathy_and_emotional_support,'591902734112018433'
donation_needs_or_offers_or_volunteering_services,'591902734300815360'
injured_or_dead_people,'591902734342758400'
missing_trapped_or_found_people,'591902735114444800'
not_related_or_irrelevant,'591902735420657665'
other_useful_information,'591902735697465345'
missing_trapped_or_found_people,'591902736007856129'
donation_needs_or_offers_or_volunteering_services,'591902736037355520'
missing_trapped_or_found_people,'591902736242741248'
injured_or_dead_people,'591902736326656001'
other_useful_information,'591902736381124609'
sympathy_and_emotional_support,'591902736418885632'
missing_trapped_or_found_people,'591902736536469505'
donation_needs_or_offers_or_volunteering_services,'591902737140318208'
missing_trapped_or_found_people,'591902737182236672'
sympathy_and_emotional_support,'591902737362767872'
not_related_or_irrelevant,'591902737601851393'
donation_needs_or_offers_or_volunteering_services,'591902737622786049'
donation_needs_or_offers_or_volunteering_services,'591902737731747840'
not_related_or_irrelevant,'591902738134339586'
sympathy_and_emotional_support,'591902738163703808'
other_useful_information,'591902738583199745'
other_useful_information,'591902738860154880'
other_useful_information,'591902738952388609'
other_useful_information,'591902739002560512'
donation_needs_or_offers_or_volunteering_services,'591902739011149825'
sympathy_and_emotional_support,'591902739023548416'
donation_needs_or_offers_or_volunteering_services,'591902739203891200'
donation_needs_or_offers_or_volunteering_services,'591902739589824512'
other_useful_information,'591902739665399808'
donation_needs_or_offers_or_volunteering_services,'591902740067954688'
donation_needs_or_offers_or_volunteering_services,'591902740369911808'
donation_needs_or_offers_or_volunteering_services,'591902740575453184'
other_useful_information,'591902740604923904'
other_useful_information,'591902740621602816'
other_useful_information,'591902740688674816'
other_useful_information,'591902740776755201'
sympathy_and_emotional_support,'591902741041000448'
sympathy_and_emotional_support,'591902741133402112'
injured_or_dead_people,'591902741301174272'
donation_needs_or_offers_or_volunteering_services,'591902741473005568'
other_useful_information,'591902741611450369'
infrastructure_and_utilities_damage,'591902741838045184'
sympathy_and_emotional_support,'591902741913477120'
not_related_or_irrelevant,'591902741951188992'
sympathy_and_emotional_support,'591902742135738368'
injured_or_dead_people,'591902742672736256'
sympathy_and_emotional_support,'591902742949535745'
injured_or_dead_people,'591902743180091392'
donation_needs_or_offers_or_volunteering_services,'591902743431815168'
infrastructure_and_utilities_damage,'591902743540862976'
donation_needs_or_offers_or_volunteering_services,'591902743759101953'
sympathy_and_emotional_support,'591902743784247296'
not_related_or_irrelevant,'591902743792517120'
injured_or_dead_people,'591902743884791808'
infrastructure_and_utilities_damage,'591902744656662529'
injured_or_dead_people,'591902744740376576'
donation_needs_or_offers_or_volunteering_services,'591902745474506754'
