,label,tweet_id,tweet_texts
0,other_useful_information,'591902695562170368',
1,infrastructure_and_utilities_damage,'591902695822331904',"RT @DailySabah: #LATEST #Nepal's Kantipur TV shows at least 21 bodies lined up on ground after 7.9 earthquake
http://t.co/opoQLUkYAN http:/‰Û_"
2,injured_or_dead_people,'591902695943843840',"RT @iamsrk: May Allah look after all. Here r the emergency contact numbers for Nepal,share, help. Prayers with all in Nepal.
http://t.co/Pz‰Û_"
3,missing_trapped_or_found_people,'591902696371724288',RT @RT_com: LATEST: 108 killed in 7.9-magnitude #Nepal earthquake ‰ÛÒ local police http://t.co/E6wZrronVg http://t.co/EvlesbH4gI
4,sympathy_and_emotional_support,'591902696375877632',"RT @Edourdoo: Shocking picture of the earthquake in Nepal,  http://t.co/2N09Jz96lq"
5,sympathy_and_emotional_support,'591902696895950848',"Indian Air Force is ready to help the people of Nepal #SaluteToArmy

#earthquake  #IndiaWithNepal"
6,not_related_or_irrelevant,'591902696925364224',
7,infrastructure_and_utilities_damage,'591902697248333825',RT @Gen_VKSingh: Express solidarity &amp; stand with Nepal in this hour of distress. Will be our endeavor to extend all support &amp; assistance to‰Û_
8,other_useful_information,'591902697395064832',"MEA opens 24 hour Control Room in #Delhi for queries regarding the Nepal Earthquake. 

011 2301 2113
011 2301 4104
011 2301 7905"
9,donation_needs_or_offers_or_volunteering_services,'591902697478967296',"24 hour Control Room for queries regarding the Nepal Earthquake. 
Numbers:
+91 11 2301 2113
+91 11 2301 4104
+91 11 2301 7905"
10,displaced_people_and_evacuations,'591902697487405056',"24 hour Control Room for queries regarding the Nepal Earthquake. 
Numbers:
+91 11 2301 2113
+91 11 2301 4104
+91 11 2301 7905"
11,displaced_people_and_evacuations,'591902697705623553',
12,donation_needs_or_offers_or_volunteering_services,'591902697848078336',Nepal quake: 7.9 magnitude tremor hits near Kathmandu http://t.co/HaEU1VCCtS
13,infrastructure_and_utilities_damage,'591902698036797440',"TV: 2 Dead, 100 Injured in Bangladesh From Nepal Quake: TV report: 2 dead, 100 injured in Bangladesh from eart... http://t.co/nxAZSSjXs5"
14,injured_or_dead_people,'591902698229739520',
15,sympathy_and_emotional_support,'591902698254958592',RT @Gurmeetramrahim: #MSGHelpEarthquakeVictims Shocked!!!hearing earthquake in Nepal n some parts of India. I pray to GOD to save His child‰Û_
16,other_useful_information,'591902698502520832',RT @thevirdas: Emergency contact Numbers for Nepal. Spread the word guys please. http://t.co/DbIn2zuqSu
17,injured_or_dead_people,'591902698552832000',The most devastating news about Nepal. Praying. https://t.co/gzL7grWudo
18,donation_needs_or_offers_or_volunteering_services,'591902698594701314',"RT @hiway: Only positive, half a day available for rescue ops. Hope it doesn't rain. #Nepal"
